PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001566,28718.23,3477.6,100870.425
E14001567,29568.334,3559.6800000000003,103916.30785714285
E14001568,30017,3603,105523.85714285714
E14001569,10063.17,1676.4,34030.21785714286
E14001570,9708.96,1642.2,32761.1
E14001571,26285.988,3242.76,92155.81571428572
E14001572,13038.534,1963.6799999999998,44690.80785714285
E14001573,27844.512,3393.24,97739.93428571428
E14001574,30017,3603,105523.85714285714
E14001575,17950.246,2437.92,62289.24214285715
E14001576,70132.5,7481,249244
E14001577,23948.202,3017.04,83779.63785714285
E14001578,18635.052,2504.04,64742.87
E14001579,15163.794000000002,2168.88,52305.515
E14001580,14195.62,2075.4,48836.59285714286
E14001581,28623.773999999998,3468.4799999999996,100531.99357142857
E14001464,15329.091999999997,2184.8399999999997,52897.77
E14001582,10322.923999999999,1701.48,34960.904285714285
E14001465,20335.26,2668.2,70834.63571428572
E14001466,30017,3603,105523.85714285714
E14001583,20193.576,2654.52,70326.98857142856
E14001584,29851.702,3587.04,104931.60214285714
E14001467,30017,3603,105523.85714285714
E14001468,29025.212,3507.24,101970.32714285713
E14001585,28671.002,3473.04,100701.20928571429
E14001469,30017,3603,105523.85714285714
E14001586,70132.5,7481,249244
E14001470,30017,3603,105523.85714285714
E14001587,20311.646,2665.92,70750.02785714285
E14001471,20642.242,2697.84,71934.53785714286
E14001588,28033.423999999995,3411.48,98416.79714285715
E14001472,24609.393999999997,3080.8799999999997,86148.65785714284
E14001589,29639.176000000003,3566.5200000000004,104170.13142857145
E14001473,24514.938000000002,3071.76,85810.22642857143
E14001590,16438.95,2292,56874.33928571428
E14001474,26002.62,3215.3999999999996,91140.52142857143
E14001591,18658.666,2506.32,64827.47785714286
E14001592,29828.088,3584.7599999999998,104846.99428571427
E14001475,16509.792,2298.84,57128.16285714286
E14001593,24137.113999999998,3035.2799999999997,84456.5007142857
E14001476,16013.898000000001,2250.96,55351.39785714286
E14001594,30017,3603,105523.85714285714
E14001477,30017,3603,105523.85714285714
E14001478,30017,3603,105523.85714285714
E14001595,30017,3603,105523.85714285714
E14001596,30017,3603,105523.85714285714
E14001479,27962.582,3404.64,98162.97357142856
E14001597,30017,3603,105523.85714285714
E14001480,26829.109999999997,3295.2,94101.79642857143
E14001481,15636.074,2214.48,53997.67214285714
E14001482,11857.833999999999,1849.6799999999998,40460.41499999999
E14001483,22153.538,2843.76,77349.44071428572
E14001598,29946.158,3596.16,105270.03357142858
E14001484,15376.320000000002,2189.4,53066.985714285714
E14001485,19674.068,2604.36,68465.61571428573
E14001486,13321.902,1991.04,45706.10214285714
E14001599,29828.088,3584.7599999999998,104846.99428571427
E14001487,16934.844,2339.88,58651.10428571429
E14001600,27891.74,3397.8,97909.15000000001
E14001488,18398.912,2481.2400000000002,63896.79142857143
E14001601,24987.218,3117.36,87502.38357142857
E14001489,14030.321999999998,2059.4399999999996,48244.33785714285
E14001602,30017,3603,105523.85714285714
E14001490,14360.918000000001,2091.3599999999997,49428.84785714286
E14001491,25931.778000000002,3208.56,90886.69785714286
E14001492,29969.772,3598.44,105354.64142857143
E14001493,13676.112000000001,2025.24,46975.22
E14001494,13888.637999999999,2045.76,47736.69071428571
E14001495,24467.71,3067.2,85641.01071428572
E14001496,29497.492000000002,3552.84,103662.4842857143
